uf,publico,privado
MG,sim,não
SC,sim,não
SP,sim,não
PR,sim,não
AM,sim,não
PI,sim,não
SC,sim,não
SE,sim,não
GO,sim,não
BA,sim,não
MT,sim,não
PR,não,sim
DF,sim,não
PA,sim,não
PB,sim,não
PE,sim,sim
AP,sim,não
AC,sim,não
TO,não,sim
MS,sim,não
SC,sim,não
SP,sim,não
MG,sim,não
RS,sim,não
RS,sim,não
MT,sim,não
AL,sim,não
PR,não,sim
PE,sim,não
MG,não,sim
MG,sim,não
MG,sim,não
MG,não,sim
MG,sim,não
MG,sim,não
MG,sim,não
AM,sim,não
AM,sim,não
SE,sim,não
SE,sim,não
GO,sim,não
GO,sim,não
PA,sim,sim
PB,sim,não
RR,sim,não
RR,sim,não
RN,não,sim
RS,sim,não
RJ,não,sim
MA,sim,não
SP,sim,não
SP,não,sim
BA,sim,não
BA,sim,não
MT,sim,não
AL,sim,não
PR,sim,não
PR,sim,sim
PR,sim,não
PR,sim,não
CE,sim,não
CE,não,sim
CE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
MS,sim,não
PE,sim,não
PE,sim,não
PE,sim,não
MG,sim,não
MG,sim,não
MG,não,sim
MG,não,sim
MG,não,sim
MG,sim,não
MG,sim,não
MG,não,sim
MG,sim,não
MG,não,sim
MG,não,sim
AP,sim,não
AP,sim,não
AP,sim,não
PI,sim,não
PI,sim,não
PI,sim,não
PI,sim,não
PI,sim,não
SC,não,sim
SC,sim,não
SC,não,sim
SC,sim,não
SC,sim,não
SC,sim,não
SC,sim,não
SC,sim,não
SC,não,sim
AC,não,sim
SE,sim,não
SE,sim,não
SE,sim,não
SE,sim,não
SE,sim,não
DF,sim,não
DF,sim,não
DF,sim,não
DF,não,sim
DF,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
GO,não,sim
GO,sim,não
PA,sim,não
PA,sim,não
PA,sim,não
TO,sim,não
TO,sim,não
RO,não,não
RO,sim,não
PB,sim,não
PB,sim,não
RR,sim,não
RR,sim,não
RR,sim,não
RN,sim,não
RN,não,sim
RN,sim,não
RS,não,sim
RS,sim,não
RS,sim,não
RS,não,não
RS,sim,não
RS,sim,não
RS,não,sim
RR,sim,não
SP,não,sim
BA,sim,não
MG,sim,não
AM,sim,não
AM,sim,não
SE,sim,não
GO,sim,não
PA,sim,não
PA,sim,não
RS,sim,não
RJ,sim,não
RJ,sim,não
RJ,sim,não
TO,sim,não
MA,sim,não
BA,sim,não
ES,sim,não
AL,sim,não
PR,sim,não
AM,sim,não
DF,sim,não
RS,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,não,sim
MA,sim,não
MA,sim,não
MA,sim,não
SP,sim,não
SP,sim,não
SP,não,sim
SC,sim,não
PR,sim,não
CE,sim,não
AM,sim,não
PA,sim,não
SP,sim,não
SP,não,não
SP,sim,não
SP,não,sim
SP,sim,não
SP,não,sim
SP,sim,sim
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
SP,não,não
AM,sim,não
SP,sim,não
CE,sim,não
CE,sim,não
PE,sim,não
PE,não,sim
PE,sim,não
PE,sim,não
PE,sim,não
ES,não,sim
ES,sim,não
ES,sim,não
ES,sim,não
ES,não,sim
ES,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
AL,sim,não
AL,sim,não
MG,sim,não
MG,sim,não
MG,não,sim
AM,sim,não
AM,sim,não
SC,sim,não
SE,não,sim
SE,sim,não
GO,sim,não
AL,sim,não
PR,não,sim
CE,sim,não
GO,sim,não
PB,sim,não
PB,não,não
RR,sim,não
RR,sim,não
RN,sim,não
RS,sim,não
RS,sim,não
RS,sim,não
RS,sim,não
MS,sim,não
MS,sim,não
MS,sim,não
PE,sim,não
MG,sim,não
MA,sim,não
MA,sim,sim
SP,não,sim
SP,sim,não
SP,sim,não
SP,sim,não
AL,sim,não
AP,não,não
SC,sim,não
SE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
CE,sim,não
PE,sim,não
PE,sim,não
PE,sim,não
DF,não,sim
GO,sim,não
RO,sim,não
PB,sim,não
RR,não,não
RR,não,sim
PE,sim,não
MG,não,sim
MG,não,sim
MG,sim,não
MG,sim,não
MG,não,sim
MG,não,sim
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,não,sim
RS,sim,não
RS,sim,não
RS,não,sim
RJ,sim,não
MG,sim,não
AP,sim,não
AP,não,sim
AP,sim,não
AM,sim,não
AM,sim,não
PI,sim,não
PI,sim,não
SC,sim,não
SC,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
SP,não,sim
SP,não,sim
SC,sim,não
SC,sim,não
SC,sim,não
SC,sim,sim
SC,sim,não
SC,sim,não
SC,não,sim
AC,sim,não
AC,sim,não
AC,sim,não
AC,sim,não
AC,sim,não
SE,sim,não
SE,sim,não
SE,sim,não
DF,não,sim
DF,não,sim
DF,sim,não
DF,não,sim
ES,não,sim
MT,sim,não
MT,sim,não
MT,não,sim
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
PR,sim,não
PR,sim,não
PR,sim,não
CE,sim,não
MS,sim,não
MS,sim,não
PE,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,não,sim
MG,não,sim
MG,sim,não
MG,sim,não
MG,sim,não
AP,sim,não
AM,sim,não
PI,sim,não
PI,sim,não
PI,sim,não
PI,sim,não
SC,não,sim
SC,sim,não
SC,sim,não
SC,não,sim
GO,sim,não
GO,sim,não
GO,sim,sim
GO,sim,não
GO,sim,não
GO,sim,não
PA,sim,não
TO,sim,não
TO,sim,não
TO,sim,não
TO,sim,não
TO,sim,não
TO,não,sim
PB,sim,não
SC,sim,não
SC,sim,não
DF,sim,não
DF,sim,sim
DF,não,sim
GO,sim,não
GO,não,não
GO,sim,não
GO,sim,não
GO,sim,não
PB,sim,sim
PB,sim,não
PB,sim,não
RR,sim,não
RR,não,não
RR,sim,não
RR,sim,não
RR,sim,sim
RR,sim,não
RN,não,sim
RN,sim,não
RN,sim,não
RN,sim,não
RN,sim,não
RN,sim,não
RS,não,sim
TO,sim,não
TO,sim,não
RO,sim,não
PB,não,sim
PB,sim,não
RR,sim,não
RN,não,não
RN,sim,não
RS,sim,não
RS,sim,não
RS,sim,não
RS,sim,não
RS,sim,não
RS,não,sim
RS,não,sim
RJ,sim,não
RJ,sim,não
RJ,sim,não
RJ,sim,não
RJ,não,sim
RJ,sim,não
RJ,sim,não
RJ,sim,não
RJ,não,sim
MA,sim,não
MA,não,sim
MA,sim,não
MA,sim,não
SP,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
SP,sim,não
SP,não,sim
SP,sim,não
SP,não,sim
SP,sim,não
SP,não,sim
SP,sim,não
SP,sim,não
BA,sim,não
BA,sim,não
BA,não,sim
BA,não,não
ES,sim,não
ES,sim,não
SP,sim,não
SP,não,sim
SP,sim,não
SP,sim,não
SP,sim,não
BA,não,sim
BA,sim,não
BA,não,sim
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
BA,não,sim
ES,sim,não
MT,sim,não
PR,sim,não
PR,sim,não
PR,não,sim
AC,sim,não
AC,sim,não
PA,não,sim
BA,sim,não
ES,sim,não
ES,não,não
ES,sim,não
MT,não,sim
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
AL,sim,não
AL,não,sim
AL,sim,não
CE,sim,não
CE,sim,não
GO,não,sim
PR,sim,não
PR,sim,não
AL,sim,não
AL,sim,não
PB,sim,não
PB,não,sim
SE,não,sim
PR,sim,não
PR,sim,não
PR,não,não
PR,sim,não
PR,sim,não
CE,sim,não
MS,não,sim
SE,não,sim
AM,não,sim
AM,não,sim
MA,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
TO,não,não
TO,sim,não
PE,sim,não
MT,sim,não
PE,sim,não
MG,não,sim
MG,não,sim
MG,sim,não
AM,sim,não
MG,sim,não
MG,não,sim
RJ,sim,não
SC,não,sim
DF,sim,não
RS,sim,não
RS,sim,não
RS,não,sim
RS,sim,não
RS,sim,não
MS,sim,não
AM,sim,não
AM,sim,não
SC,sim,não
SC,sim,não
SC,não,sim
AC,sim,não
SE,sim,não
SE,não,não
GO,não,sim
GO,sim,não
PA,sim,não
PB,não,sim
PB,sim,não
PB,sim,não
RR,sim,não
RN,sim,não
AC,sim,não
AC,sim,não
AC,sim,não
PA,sim,não
PA,sim,não
PA,sim,não
AP,sim,não
AP,sim,não
BA,sim,não
BA,sim,não
BA,sim,não
CE,sim,não
CE,sim,não
RS,sim,não
RS,não,sim
RJ,não,sim
RJ,não,não
GO,sim,sim
GO,sim,não
GO,sim,não
GO,sim,sim
PI,sim,não
PI,sim,não
PR,sim,não
PR,sim,não
PR,sim,não
PR,sim,não
AL,sim,não
AL,sim,não
AL,sim,não
AL,sim,não
AL,não,sim
PB,sim,não
PB,sim,não
MA,sim,não
SP,não,sim
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
BA,sim,não
RR,sim,não
SE,sim,não
AM,sim,não
MA,sim,não
MA,sim,não
RO,sim,não
SP,sim,não
BA,sim,não
ES,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
AL,sim,não
AL,sim,não
PR,não,sim
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
SP,não,sim
SP,sim,não
SP,sim,não
SP,sim,não
TO,sim,não
TO,sim,não
PE,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
MT,não,não
MT,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,sim,não
MG,não,sim
MG,sim,não
ES,sim,não
CE,sim,não
MS,não,sim
MS,sim,não
MS,sim,não
MS,sim,não
MS,sim,não
PE,não,sim
PE,sim,não
PE,sim,não
PE,não,sim
MG,sim,não
MG,sim,não
ES,sim,não
ES,sim,sim
RJ,sim,não
RJ,sim,não
SC,não,sim
SC,não,sim
SC,sim,não
SC,não,sim
MG,sim,não
MG,sim,não
MG,sim,não
AP,sim,não
PI,sim,não
PI,sim,não
SC,sim,não
SC,sim,não
SC,sim,não
SC,sim,não
SC,sim,não
DF,sim,não
DF,não,sim
DF,sim,não
RS,sim,não
RS,sim,não
RS,não,sim
RS,sim,não
RS,sim,não
RS,sim,não
MS,sim,não
MS,sim,não
MS,não,sim
MS,não,sim
RN,sim,não
SC,sim,não
SC,sim,não
SC,não,sim
AC,sim,não
AC,sim,não
SE,sim,não
SE,sim,não
SE,sim,não
SE,sim,não
DF,sim,não
DF,sim,não
DF,não,não
GO,sim,não
GO,sim,não
GO,não,sim
GO,não,não
GO,sim,não
PA,sim,não
PA,sim,não
PA,sim,não
BA,sim,não
BA,sim,não
CE,sim,não
CE,não,sim
GO,sim,não
PR,sim,não
AL,sim,não
AL,sim,não
PB,sim,não
RR,sim,não
SE,sim,não
TO,sim,não
TO,sim,sim
TO,sim,não
PB,sim,não
PB,sim,não
PB,sim,não
PB,sim,não
RR,sim,não
RR,sim,não
RS,não,sim
RS,sim,não
RS,não,sim
RS,não,sim
RS,sim,não
RS,não,sim
RS,sim,não
AM,sim,não
SP,sim,não
SP,não,sim
TO,sim,não
TO,sim,não
PE,sim,não
PE,sim,sim
PE,sim,não
MG,sim,não
MG,sim,não
RJ,sim,não
RJ,sim,não
RJ,sim,não
RJ,não,sim
MA,não,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
MA,sim,não
SP,sim,não
SP,sim,não
SP,sim,não
MG,não,sim
MG,sim,não
RJ,sim,não
RJ,sim,não
SC,sim,não
DF,não,sim
MS,sim,não
RN,sim,não
PA,sim,não
PA,sim,não
SP,sim,não
BA,não,sim
BA,não,sim
BA,sim,não
BA,não,sim
ES,sim,não
ES,não,sim
ES,não,sim
BA,sim,não
CE,não,sim
GO,não,sim
PR,não,sim
PR,sim,não
AL,não,sim
PB,não,sim
PB,não,sim
RR,sim,não
RR,sim,não
MT,sim,não
MT,sim,não
MT,sim,não
AL,não,sim
AL,sim,não
AL,sim,não
AL,sim,não
AL,sim,não
AL,sim,não
PR,sim,não
PR,sim,não
PR,não,sim
PR,sim,não
PR,sim,sim
AC,sim,não
PA,sim,não
BA,sim,não
SP,sim,não
SP,não,sim
SP,não,sim
SP,sim,não
SP,sim,não
TO,não,não
TO,sim,sim
PE,sim,não
PE,não,sim
PE,sim,sim
PE,sim,não
MT,sim,não
MG,não,sim
MG,não,sim
MG,não,sim
MG,não,sim
CE,não,sim
CE,sim,não
GO,sim,não
GO,sim,não
GO,sim,não
PI,não,sim
PR,sim,não
PR,sim,não
PR,sim,não
AL,sim,não
AL,sim,não
AL,sim,não
RR,sim,não
RJ,não,não
RJ,sim,não
SC,sim,não
SC,sim,não
DF,sim,sim
DF,não,sim
AM,sim,não
AM,sim,não
MA,sim,não
MA,sim,não
RO,sim,não
SP,sim,não
TO,sim,não
PE,sim,não
PE,não,sim
PE,sim,não
PE,sim,não
CE,não,sim
GO,não,sim
PR,sim,não
AL,sim,não
PB,não,sim
RR,sim,não
SE,sim,não
AM,sim,não
MA,sim,não
