Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2009-05-01,1.9715,2.1898,2.1898,1.9650,,-9.97%
2011-10-01,1.7172,1.8777,1.9175,1.6711,,-8.61%
2022-03-01,4.7390,5.1605,5.2233,4.7148,,-8.16%
2018-10-01,3.7218,4.0496,4.0637,3.5817,,-8.05%
2020-11-01,5.3319,5.7430,5.7667,5.2235,,-7.18%
2013-09-01,2.2156,2.3826,2.4042,2.1793,,-7.14%
2012-01-01,1.7472,1.8665,1.8754,1.7321,,-6.23%
2019-01-01,3.6439,3.8793,3.8976,3.6363,,-6.09%
2009-09-01,1.7715,1.8790,1.9217,1.7588,,-5.78%
2015-04-01,3.0140,3.1951,3.1951,2.8816,,-5.66%
2009-04-01,2.1898,2.3170,2.3175,2.1585,,-5.49%
2017-07-01,3.1259,3.3190,3.3310,3.1102,,-5.46%
2023-06-01,4.7860,5.0553,5.0588,4.7505,,-5.37%
2008-04-01,1.6622,1.7559,1.7605,1.6471,,-5.36%
2019-12-01,4.0190,4.2362,4.2541,4.0083,,-5.13%
2022-05-01,4.7315,4.9692,5.2102,4.6904,,-4.84%
2022-01-01,5.3041,5.5668,5.7255,5.2838,,-4.78%
2021-06-01,4.9686,5.2210,5.2212,4.8929,,-4.77%
2009-07-01,1.8650,1.9525,2.0280,1.8610,,-4.48%
2020-07-01,5.2240,5.4660,5.4763,5.0827,,-4.43%
2016-04-01,3.4352,3.5910,3.7191,3.4288,,-4.38%
2022-10-01,5.1791,5.4158,5.4158,5.1083,,-4.36%
2010-02-01,1.8072,1.8685,1.8980,1.7874,,-4.13%
2012-12-01,2.0485,2.1360,2.1392,2.0390,,-4.10%
2021-05-01,5.2172,5.4360,5.4843,5.1964,,-4.04%
2023-01-01,5.0731,5.2865,5.4802,5.0560,,-4.03%
2010-09-01,1.6876,1.7549,1.7593,1.6855,,-3.84%
2016-12-01,3.2532,3.3854,3.4927,3.2408,,-3.83%
2008-02-01,1.6914,1.7590,1.7820,1.6612,,-3.83%
2018-01-01,3.1858,3.3135,3.3135,3.1198,,-3.81%
2021-04-01,5.4366,5.6330,5.7562,5.3274,,-3.46%
2011-04-01,1.5775,1.6318,1.6318,1.5565,,-3.34%
2023-03-01,5.0631,5.2369,5.3421,5.0547,,-3.32%
2019-10-01,4.0174,4.1564,4.1873,3.9637,,-3.31%
2010-12-01,1.6595,1.7138,1.7220,1.6593,,-3.24%
2017-01-01,3.1507,3.2547,3.2926,3.1016,,-3.15%
2009-03-01,2.3169,2.3905,2.4505,2.2150,,-3.12%
2018-07-01,3.7557,3.8781,3.9533,3.6879,,-3.12%
2014-02-01,2.3381,2.4127,2.4406,2.3182,,-3.07%
2013-01-01,1.9902,2.0333,2.0508,1.9813,,-2.85%
2014-03-01,2.2714,2.3384,2.3765,2.2478,,-2.85%
2010-07-01,1.7540,1.8052,1.8138,1.7495,,-2.77%
2020-05-01,5.3361,5.4861,5.9718,5.2691,,-2.73%
2022-02-01,5.1599,5.2983,5.3509,4.9939,,-2.72%
2020-12-01,5.1937,5.3158,5.3301,5.0100,,-2.59%
2010-04-01,1.7375,1.7832,1.7932,1.7225,,-2.59%
2015-06-01,3.1020,3.1795,3.2143,3.0296,,-2.42%
2015-10-01,3.8562,3.9509,4.0458,3.7232,,-2.32%
2008-07-01,1.5670,1.6039,1.6211,1.5604,,-2.31%
2023-11-01,4.9205,5.0381,5.0454,4.8369,,-2.27%
2016-10-01,3.1878,3.2631,3.2640,3.1017,,-2.18%
2008-05-01,1.6265,1.6617,1.7055,1.6241,,-2.15%
2016-06-01,3.2126,3.6095,3.6360,3.1824,,-11.02%
2016-03-01,3.5925,4.0172,4.0225,3.5318,,-10.54%
2011-03-01,1.6320,1.6640,1.6932,1.6205,,-1.91%
2019-06-01,3.8518,3.9232,3.9344,3.8066,,-1.78%
2014-04-01,2.2320,2.2721,2.2889,2.1814,,-1.73%
2012-02-01,1.7174,1.7498,1.7498,1.6867,,-1.71%
2022-07-01,5.1734,5.2569,5.5152,5.1448,,-1.58%
2023-04-01,4.9865,5.0637,5.1002,4.8921,,-1.51%
2023-12-01,4.8521,4.9265,4.9770,4.8035,,-1.39%
2008-06-01,1.6041,1.6260,1.6522,1.5880,,-1.38%
2017-02-01,3.1086,3.1515,3.1634,3.0387,,-1.34%
2012-08-01,2.0293,2.0571,2.0575,2.0060,,-1.33%
2010-03-01,1.7837,1.8058,1.8302,1.7563,,-1.30%
2023-07-01,4.7241,4.7885,4.9507,4.6950,,-1.29%
2014-08-01,2.2355,2.2635,2.3077,2.2329,,-1.23%
2021-08-01,5.1492,5.2158,5.4757,5.1101,,-1.21%
2014-06-01,2.2137,2.2415,2.2918,2.1869,,-1.19%
2008-01-01,1.7588,1.7795,1.8407,1.7285,,-1.19%
2011-06-01,1.5622,1.5788,1.6163,1.5573,,-1.13%
2013-04-01,2.0010,2.0186,2.0300,1.9633,,-1.11%
2019-07-01,3.8125,3.8373,3.8812,3.7178,,-1.02%
2009-06-01,1.9525,1.9715,2.0383,1.9083,,-0.96%
2021-12-01,5.5703,5.6243,5.7579,5.5175,,-0.95%
2010-06-01,1.8039,1.8194,1.8824,1.7487,,-0.89%
2011-07-01,1.5490,1.5621,1.5854,1.5280,,-0.84%
2009-12-01,1.7430,1.7497,1.8011,1.6995,,-0.71%
2012-06-01,2.0095,2.0224,2.0991,2.0042,,-0.65%
2016-08-01,3.2266,3.2496,3.2927,3.1127,,-0.63%
2013-02-01,1.9795,1.9908,1.9974,1.9493,,-0.54%
2009-11-01,1.7555,1.7635,1.7805,1.6930,,-0.45%
2009-10-01,1.7635,1.7720,1.8074,1.6970,,-0.45%
2021-11-01,5.6239,5.6221,5.7000,5.3879,,-0.24%
2011-02-01,1.6638,1.6672,1.6806,1.6553,,-0.22%
2012-09-01,2.0257,2.0297,2.0450,2.0060,,-0.18%
2018-09-01,4.0477,4.0921,4.2109,3.9669,,-0.17%
2019-04-01,3.9207,3.8897,4.0065,3.8147,,-0.08%
2014-09-01,2.4449,2.2362,2.4785,2.2253,,+9.37%
2015-09-01,3.9478,3.6188,4.2487,3.6186,,+9.09%
2019-08-01,4.1445,3.8154,4.1949,3.8107,,+8.71%
2010-01-01,1.8850,1.7291,1.8971,1.7138,,+8.15%
2018-08-01,4.0545,3.7566,4.2151,3.6902,,+7.96%
2013-05-01,2.1418,2.0015,2.1512,1.9945,,+7.04%
